Series_Title,Runtime
The Shawshank Redemption,142 min
The Godfather,175 min
The Dark Knight,152 min
The Godfather: Part II,202 min
12 Angry Men,96 min
The Lord of the Rings: The Return of the King,201 min
Pulp Fiction,154 min
Schindler's List,195 min
Inception,148 min
Fight Club,139 min
The Lord of the Rings: The Fellowship of the Ring,178 min
Forrest Gump,142 min
"Il buono, il brutto, il cattivo",161 min
The Lord of the Rings: The Two Towers,179 min
The Matrix,136 min
Goodfellas,146 min
Star Wars: Episode V - The Empire Strikes Back,124 min
One Flew Over the Cuckoo's Nest,133 min
Hamilton,160 min
Gisaengchung,132 min
Soorarai Pottru,153 min
Interstellar,169 min
Cidade de Deus,130 min
Sen to Chihiro no kamikakushi,125 min
Saving Private Ryan,169 min
The Green Mile,189 min
La vita è bella,116 min
Se7en,127 min
The Silence of the Lambs,118 min
Star Wars,121 min
Seppuku,133 min
Shichinin no samurai,207 min
It's a Wonderful Life,130 min
Joker,122 min
Whiplash,106 min
The Intouchables,112 min
The Prestige,130 min
The Departed,151 min
The Pianist,150 min
Gladiator,155 min
American History X,119 min
The Usual Suspects,106 min
Léon,110 min
The Lion King,88 min
Terminator 2: Judgment Day,137 min
Nuovo Cinema Paradiso,155 min
Hotaru no haka,89 min
Back to the Future,116 min
Once Upon a Time in the West,165 min
Psycho,109 min
Casablanca,102 min
Modern Times,87 min
City Lights,87 min
Capharnaüm,126 min
Ayla: The Daughter of War,125 min
Vikram Vedha,147 min
Kimi no na wa.,106 min
Dangal,161 min
Spider-Man: Into the Spider-Verse,117 min
Avengers: Endgame,181 min
Avengers: Infinity War,149 min
Coco,105 min
Django Unchained,165 min
The Dark Knight Rises,164 min
3 Idiots,170 min
Taare Zameen Par,165 min
WALL·E,98 min
The Lives of Others,137 min
Oldeuboi,101 min
Memento,113 min
Mononoke-hime,134 min
Once Upon a Time in America,229 min
Raiders of the Lost Ark,115 min
The Shining,146 min
Apocalypse Now,147 min
Alien,117 min
Anand,122 min
Tengoku to jigoku,143 min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min
Witness for the Prosecution,116 min
Paths of Glory,88 min
Rear Window,112 min
Sunset Blvd.,110 min
The Great Dictator,125 min
1917,119 min
Tumbbad,104 min
Andhadhun,139 min
Drishyam,160 min
Jagten,115 min
Jodaeiye Nader az Simin,123 min
Incendies,131 min
Miracle in cell NO.7,132 min
Babam ve Oglum,112 min
Inglourious Basterds,153 min
Eternal Sunshine of the Spotless Mind,108 min
Amélie,122 min
Snatch,104 min
Requiem for a Dream,102 min
American Beauty,122 min
Good Will Hunting,126 min
Bacheha-Ye aseman,89 min
Toy Story,81 min
Braveheart,178 min
Reservoir Dogs,99 min
Full Metal Jacket,116 min
Idi i smotri,142 min
Aliens,137 min
Amadeus,160 min
Scarface,170 min
Star Wars: Episode VI - Return of the Jedi,131 min
Das Boot,149 min
Taxi Driver,114 min
The Sting,129 min
A Clockwork Orange,136 min
2001: A Space Odyssey,149 min
Per qualche dollaro in più,132 min
Lawrence of Arabia,228 min
The Apartment,125 min
North by Northwest,136 min
Vertigo,128 min
Singin' in the Rain,103 min
Ikiru,143 min
Ladri di biciclette,89 min
Double Indemnity,107 min
Citizen Kane,119 min
M - Eine Stadt sucht einen Mörder,117 min
Metropolis,153 min
The Kid,68 min
Chhichhore,143 min
Uri: The Surgical Strike,138 min
K.G.F: Chapter 1,156 min
Green Book,130 min
"Three Billboards Outside Ebbing, Missouri",115 min
Talvar,132 min
Baahubali 2: The Conclusion,167 min
Klaus,96 min
Drishyam,163 min
Queen,146 min
Mandariinid,87 min
Bhaag Milkha Bhaag,186 min
Gangs of Wasseypur,321 min
Udaan,134 min
Paan Singh Tomar,135 min
El secreto de sus ojos,129 min
Warrior,140 min
Shutter Island,138 min
Up,96 min
The Wolf of Wall Street,180 min
Chak De! India,153 min
There Will Be Blood,158 min
Pan's Labyrinth,118 min
Toy Story 3,103 min
V for Vendetta,132 min
Rang De Basanti,167 min
Black,122 min
Batman Begins,140 min
"Swades: We, the People",210 min
Der Untergang,156 min
Hauru no ugoku shiro,119 min
A Beautiful Mind,135 min
Hera Pheri,156 min
"Lock, Stock and Two Smoking Barrels",107 min
L.A. Confidential,138 min
Eskiya,128 min
Heat,170 min
Casino,178 min
Andaz Apna Apna,160 min
Unforgiven,130 min
Indiana Jones and the Last Crusade,127 min
Dom za vesanje,142 min
Tonari no Totoro,86 min
Die Hard,132 min
Ran,162 min
Raging Bull,129 min
Stalker,162 min
Höstsonaten,99 min
The Message,177 min
Sholay,204 min
Monty Python and the Holy Grail,91 min
The Great Escape,172 min
To Kill a Mockingbird,129 min
Yôjinbô,110 min
Judgment at Nuremberg,179 min
Some Like It Hot,121 min
Smultronstället,91 min
Det sjunde inseglet,96 min
Du rififi chez les hommes,118 min
Dial M for Murder,105 min
Tôkyô monogatari,136 min
Rashômon,88 min
All About Eve,138 min
The Treasure of the Sierra Madre,126 min
To Be or Not to Be,99 min
The Gold Rush,95 min
Sherlock Jr.,45 min
Portrait de la jeune fille en feu,122 min
Pink,136 min
Koe no katachi,130 min
Contratiempo,106 min
Ah-ga-ssi,145 min
Mommy,139 min
Haider,160 min
Logan,137 min
Room,118 min
Relatos salvajes,122 min
Soul,100 min
Kis Uykusu,196 min
PK,153 min
OMG: Oh My God!,125 min
The Grand Budapest Hotel,99 min
Gone Girl,149 min
Ôkami kodomo no Ame to Yuki,117 min
Hacksaw Ridge,139 min
Inside Out,95 min
Barfi!,151 min
12 Years a Slave,134 min
Rush,123 min
Ford v Ferrari,152 min
Spotlight,129 min
Song of the Sea,93 min
Kahaani,122 min
Zindagi Na Milegi Dobara,155 min
Prisoners,153 min
Mad Max: Fury Road,120 min
A Wednesday,104 min
Gran Torino,116 min
Harry Potter and the Deathly Hallows: Part 2,130 min
Okuribito,130 min
Hachi: A Dog's Tale,93 min
Mary and Max,92 min
How to Train Your Dragon,98 min
Into the Wild,148 min
No Country for Old Men,122 min
Lage Raho Munna Bhai,144 min
Million Dollar Baby,132 min
Hotel Rwanda,121 min
Taegukgi hwinalrimyeo,140 min
Before Sunset,80 min
Munna Bhai M.B.B.S.,156 min
Salinui chueok,131 min
Dil Chahta Hai,183 min
Kill Bill: Vol. 1,111 min
Finding Nemo,100 min
Catch Me If You Can,141 min
Amores perros,154 min
"Monsters, Inc.",92 min
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",87 min
Lagaan: Once Upon a Time in India,224 min
The Sixth Sense,107 min
La leggenda del pianista sull'oceano,169 min
The Truman Show,103 min
"Crna macka, beli macor",127 min
The Big Lebowski,117 min
Fa yeung nin wah,98 min
Trainspotting,93 min
Fargo,98 min
Underground,170 min
La haine,98 min
Dilwale Dulhania Le Jayenge,189 min
Before Sunrise,101 min
Trois couleurs: Rouge,99 min
Chung Hing sam lam,102 min
Jurassic Park,127 min
In the Name of the Father,133 min
Ba wang bie ji,171 min
Dà hóng denglong gaogao guà,125 min
Dead Poets Society,128 min
Stand by Me,89 min
Platoon,120 min
"Paris, Texas",145 min
Kaze no tani no Naushika,117 min
The Thing,109 min
Pink Floyd: The Wall,95 min
Fitzcarraldo,158 min
Fanny och Alexander,188 min
Blade Runner,117 min
The Elephant Man,124 min
Life of Brian,94 min
The Deer Hunter,183 min
Rocky,120 min
Network,121 min
Barry Lyndon,185 min
Zerkalo,107 min
Chinatown,130 min
Paper Moon,102 min
Viskningar och rop,91 min
Solaris,167 min
Le samouraï,105 min
Cool Hand Luke,127 min
Persona,85 min
Andrei Rublev,205 min
La battaglia di Algeri,121 min
El ángel exterminador,95 min
What Ever Happened to Baby Jane?,134 min
Sanjuro,96 min
The Man Who Shot Liberty Valance,123 min
Ivanovo detstvo,95 min
Jungfrukällan,89 min
Inherit the Wind,128 min
Les quatre cents coups,99 min
Ben-Hur,212 min
Kakushi-toride no san-akunin,139 min
Le notti di Cabiria,110 min
Kumonosu-jô,110 min
The Bridge on the River Kwai,161 min
On the Waterfront,108 min
Le salaire de la peur,131 min
Ace in the Hole,111 min
White Heat,114 min
The Third Man,104 min
The Red Shoes,135 min
The Shop Around the Corner,99 min
Rebecca,130 min
Mr. Smith Goes to Washington,129 min
Gone with the Wind,238 min
La Grande Illusion,113 min
It Happened One Night,105 min
La passion de Jeanne d'Arc,110 min
The Circus,72 min
Sunrise: A Song of Two Humans,94 min
The General,67 min
Das Cabinet des Dr. Caligari,76 min
Badhaai ho,124 min
Togo,113 min
Airlift,130 min
Bajrangi Bhaijaan,163 min
Baby,159 min
La La Land,128 min
Lion,118 min
The Martian,144 min
Zootopia,108 min
Bãhubali: The Beginning,159 min
Kaguyahime no monogatari,137 min
Wonder,113 min
Gully Boy,154 min
Special Chabbis,144 min
Short Term 12,96 min
Serbuan maut 2: Berandal,150 min
The Imitation Game,114 min
Guardians of the Galaxy,121 min
Blade Runner 2049,164 min
Her,126 min
Bohemian Rhapsody,134 min
The Revenant,156 min
The Perks of Being a Wallflower,103 min
Tropa de Elite 2: O Inimigo Agora é Outro,115 min
The King's Speech,118 min
The Help,146 min
Deadpool,108 min
Darbareye Elly,119 min
Dev.D,144 min
Yip Man,106 min
My Name Is Khan,165 min
Nefes: Vatan Sagolsun,128 min
Slumdog Millionaire,120 min
Black Swan,108 min
Tropa de Elite,115 min
The Avengers,143 min
Persepolis,96 min
Dallas Buyers Club,117 min
The Pursuit of Happyness,117 min
Blood Diamond,143 min
The Bourne Ultimatum,115 min
Bin-jip,88 min
Sin City,124 min
Le scaphandre et le papillon,112 min
G.O.R.A.,127 min
Ratatouille,111 min
Casino Royale,144 min
Kill Bill: Vol. 2,137 min
Vozvrashchenie,110 min
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,103 min
Mar adentro,126 min
Cinderella Man,144 min
Kal Ho Naa Ho,186 min
Mou gaan dou,101 min
Pirates of the Caribbean: The Curse of the Black Pearl,143 min
Big Fish,125 min
The Incredibles,115 min
Yeopgijeogin geunyeo,137 min
Dogville,178 min
Vizontele,110 min
Donnie Darko,113 min
Magnolia,188 min
Dancer in the Dark,140 min
The Straight Story,112 min
Pâfekuto burû,81 min
Festen,105 min
Central do Brasil,110 min
The Iron Giant,86 min
Knockin' on Heaven's Door,87 min
Sling Blade,135 min
Secrets & Lies,136 min
Twelve Monkeys,129 min
Kôkaku Kidôtai,83 min
The Nightmare Before Christmas,76 min
Groundhog Day,101 min
Bound by Honor,180 min
Scent of a Woman,156 min
Aladdin,90 min
JFK,189 min
Beauty and the Beast,84 min
Dances with Wolves,181 min
Do the Right Thing,120 min
Rain Man,133 min
Akira,124 min
The Princess Bride,98 min
Der Himmel über Berlin,128 min
Au revoir les enfants,104 min
Tenkû no shiro Rapyuta,125 min
The Terminator,107 min
Gandhi,191 min
Kagemusha,180 min
Being There,130 min
Annie Hall,93 min
Jaws,124 min
Dog Day Afternoon,125 min
Young Frankenstein,106 min
Papillon,151 min
The Exorcist,122 min
Sleuth,138 min
The Last Picture Show,118 min
Fiddler on the Roof,181 min
Il conformista,113 min
Butch Cassidy and the Sundance Kid,110 min
Rosemary's Baby,137 min
Planet of the Apes,112 min
The Graduate,106 min
Who's Afraid of Virginia Woolf?,131 min
The Sound of Music,172 min
Doctor Zhivago,197 min
Per un pugno di dollari,99 min
8½,138 min
Vivre sa vie: Film en douze tableaux,80 min
The Hustler,134 min
La dolce vita,174 min
Rio Bravo,141 min
Anatomy of a Murder,161 min
Touch of Evil,95 min
Cat on a Hot Tin Roof,108 min
Sweet Smell of Success,96 min
The Killing,84 min
The Night of the Hunter,92 min
La Strada,108 min
Les diaboliques,117 min
Stalag 17,120 min
Roman Holiday,118 min
A Streetcar Named Desire,122 min
In a Lonely Place,94 min
Kind Hearts and Coronets,106 min
Rope,80 min
Out of the Past,97 min
Brief Encounter,86 min
Laura,88 min
The Best Years of Our Lives,170 min
Arsenic and Old Lace,118 min
The Maltese Falcon,100 min
The Grapes of Wrath,129 min
The Wizard of Oz,102 min
La règle du jeu,110 min
The Thin Man,91 min
All Quiet on the Western Front,152 min
Bronenosets Potemkin,75 min
Knives Out,130 min
Dil Bechara,101 min
Manbiki kazoku,121 min
Marriage Story,137 min
Call Me by Your Name,132 min
"I, Daniel Blake",100 min
Isle of Dogs,101 min
Hunt for the Wilderpeople,101 min
Captain Fantastic,118 min
Sing Street,106 min
Thor: Ragnarok,130 min
Nightcrawler,117 min
Jojo Rabbit,108 min
Arrival,116 min
Star Wars: Episode VII - The Force Awakens,138 min
Before Midnight,109 min
X-Men: Days of Future Past,132 min
Bir Zamanlar Anadolu'da,157 min
The Artist,100 min
Edge of Tomorrow,113 min
Amour,127 min
The Irishman,209 min
Un prophète,155 min
Moon,97 min
Låt den rätte komma in,114 min
District 9,112 min
The Wrestler,109 min
Jab We Met,138 min
Boyhood,165 min
"4 luni, 3 saptamâni si 2 zile",113 min
Star Trek,127 min
In Bruges,107 min
The Man from Earth,87 min
Letters from Iwo Jima,141 min
The Fall,117 min
Life of Pi,127 min
Fantastic Mr. Fox,87 min
C.R.A.Z.Y.,129 min
Les choristes,97 min
Iron Man,126 min
Shaun of the Dead,99 min
Gegen die Wand,121 min
Mystic River,138 min
Harry Potter and the Prisoner of Azkaban,142 min
Ying xiong,120 min
Hable con ella,112 min
No Man's Land,98 min
Cowboy Bebop: Tengoku no tobira,115 min
The Bourne Identity,119 min
Nueve reinas,114 min
Children of Men,109 min
Almost Famous,122 min
Mulholland Dr.,147 min
Toy Story 2,92 min
Boogie Nights,155 min
Mimi wo sumaseba,111 min
Once Were Warriors,102 min
True Romance,119 min
Trois couleurs: Bleu,94 min
Jûbê ninpûchô,94 min
Carlito's Way,144 min
Edward Scissorhands,105 min
My Left Foot: The Story of Christy Brown,103 min
Crimes and Misdemeanors,104 min
The Untouchables,119 min
Hannah and Her Sisters,107 min
Brazil,132 min
This Is Spinal Tap,82 min
A Christmas Story,93 min
The Blues Brothers,133 min
Manhattan,96 min
All That Jazz,123 min
Dawn of the Dead,127 min
All the President's Men,138 min
La montaña sagrada,114 min
Amarcord,123 min
Le charme discret de la bourgeoisie,102 min
"Aguirre, der Zorn Gottes",95 min
Harold and Maude,91 min
Patton,172 min
The Wild Bunch,145 min
Night of the Living Dead,96 min
The Lion in Winter,134 min
In the Heat of the Night,110 min
Charade,113 min
The Manchurian Candidate,126 min
Spartacus,197 min
L'avventura,144 min
Hiroshima mon amour,90 min
The Ten Commandments,220 min
The Searchers,119 min
East of Eden,118 min
High Noon,85 min
Strangers on a Train,101 min
Harvey,104 min
Miracle on 34th Street,96 min
Notorious,102 min
The Big Sleep,114 min
The Lost Weekend,101 min
The Philadelphia Story,112 min
His Girl Friday,92 min
The Adventures of Robin Hood,102 min
A Night at the Opera,96 min
King Kong,100 min
Freaks,64 min
Nosferatu,94 min
The Gentlemen,113 min
Raazi,138 min
Sound of Metal,120 min
Forushande,124 min
Dunkirk,106 min
Perfetti sconosciuti,96 min
Hidden Figures,127 min
Paddington 2,103 min
Udta Punjab,148 min
Kubo and the Two Strings,101 min
M.S. Dhoni: The Untold Story,184 min
Manchester by the Sea,137 min
Under sandet,100 min
Rogue One,133 min
Captain America: Civil War,147 min
The Hateful Eight,168 min
Little Women,135 min
Loving Vincent,94 min
Pride,119 min
Le passé,130 min
La grande bellezza,141 min
The Lunchbox,104 min
Vicky Donor,126 min
Big Hero 6,102 min
About Time,123 min
English Vinglish,134 min
Kaze tachinu,126 min
Toy Story 4,100 min
La migliore offerta,131 min
Moonrise Kingdom,94 min
How to Train Your Dragon 2,102 min
The Big Short,130 min
Kokuhaku,106 min
Ang-ma-reul bo-at-da,144 min
The Girl with the Dragon Tattoo,158 min
Captain Phillips,134 min
Ajeossi,119 min
Straight Outta Compton,147 min
Madeo,129 min
Chugyeokja,125 min
The Hobbit: The Desolation of Smaug,161 min
Das weiße Band - Eine deutsche Kindergeschichte,144 min
Män som hatar kvinnor,152 min
The Trial of the Chicago 7,129 min
Druk,117 min
The Fighter,116 min
Taken,90 min
The Boy in the Striped Pyjamas,94 min
Once,86 min
The Hobbit: An Unexpected Journey,169 min
Auf der anderen Seite,122 min
Atonement,123 min
Drive,100 min
American Gangster,157 min
Avatar,162 min
Mr. Nobody,141 min
Apocalypto,139 min
Little Miss Sunshine,101 min
Hot Fuzz,121 min
The Curious Case of Benjamin Button,166 min
Veer-Zaara,192 min
Adams æbler,94 min
Pride & Prejudice,129 min
The World's Fastest Indian,127 min
Tôkyô goddofâzâzu,90 min
Serenity,119 min
Walk the Line,136 min
Ondskan,113 min
The Notebook,123 min
Diarios de motocicleta,126 min
Lilja 4-ever,109 min
Les triplettes de Belleville,80 min
Gongdong gyeongbi guyeok JSA,110 min
The Count of Monte Cristo,131 min
Waking Life,99 min
Remember the Titans,113 min
Wo hu cang long,120 min
Todo sobre mi madre,101 min
Cast Away,143 min
The Boondock Saints,108 min
The Insider,157 min
October Sky,108 min
Shrek,90 min
Titanic,194 min
Hana-bi,103 min
Gattaca,106 min
The Game,129 min
Breaking the Waves,159 min
Ed Wood,127 min
What's Eating Gilbert Grape,118 min
Tombstone,130 min
The Sandlot,101 min
The Remains of the Day,134 min
Naked,132 min
The Fugitive,130 min
A Bronx Tale,121 min
Batman: Mask of the Phantasm,76 min
Lat sau san taam,128 min
Night on Earth,129 min
La double vie de Véronique,98 min
Boyz n the Hood,112 min
Misery,107 min
Awakenings,121 min
Majo no takkyûbin,103 min
Glory,122 min
Dip huet seung hung,111 min
Back to the Future Part II,108 min
Mississippi Burning,128 min
Predator,107 min
Evil Dead II,84 min
Ferris Bueller's Day Off,103 min
Down by Law,107 min
The Goonies,114 min
The Color Purple,154 min
The Breakfast Club,97 min
The Killing Fields,141 min
Ghostbusters,105 min
The Right Stuff,193 min
The King of Comedy,109 min
E.T. the Extra-Terrestrial,115 min
Kramer vs. Kramer,105 min
Days of Heaven,94 min
The Outlaw Josey Wales,135 min
The Man Who Would Be King,129 min
The Conversation,113 min
La planète sauvage,72 min
The Day of the Jackal,143 min
Badlands,94 min
Cabaret,124 min
Willy Wonka & the Chocolate Factory,100 min
Midnight Cowboy,113 min
Wait Until Dark,108 min
Guess Who's Coming to Dinner,108 min
Bonnie and Clyde,111 min
My Fair Lady,170 min
Mary Poppins,139 min
The Longest Day,178 min
Jules et Jim,105 min
The Innocents,100 min
À bout de souffle,90 min
Red River,133 min
Key Largo,100 min
To Have and Have Not,100 min
Shadow of a Doubt,108 min
Stagecoach,96 min
The Lady Vanishes,96 min
Bringing Up Baby,102 min
Bride of Frankenstein,75 min
Duck Soup,69 min
Scarface: The Shame of the Nation,93 min
Frankenstein,70 min
Roma,135 min
God's Own Country,104 min
Deadpool 2,119 min
Wind River,107 min
Get Out,104 min
Mission: Impossible - Fallout,147 min
En man som heter Ove,116 min
What We Do in the Shadows,86 min
Omoide no Mânî,103 min
The Theory of Everything,123 min
Kingsman: The Secret Service,129 min
The Fault in Our Stars,126 min
Me and Earl and the Dying Girl,105 min
Birdman or (The Unexpected Virtue of Ignorance),119 min
La vie d'Adèle,180 min
Kai po che!,130 min
The Broken Circle Breakdown,111 min
Captain America: The Winter Soldier,136 min
Rockstar,159 min
Nebraska,115 min
Wreck-It Ralph,101 min
Le Petit Prince,108 min
Detachment,98 min
Midnight in Paris,96 min
The Lego Movie,100 min
Gravity,91 min
Star Trek Into Darkness,132 min
Beasts of No Nation,137 min
The Social Network,120 min
X: First Class,131 min
The Hangover,100 min
Skyfall,143 min
Silver Linings Playbook,122 min
Argo,120 min
(500) Days of Summer,95 min
Harry Potter and the Deathly Hallows: Part 1,146 min
Gake no ue no Ponyo,101 min
Frost/Nixon,122 min
Papurika,90 min
Changeling,141 min
Flipped,90 min
Toki o kakeru shôjo,98 min
Death Note: Desu nôto,126 min
This Is England,101 min
Ex Machina,108 min
Efter brylluppet,120 min
The Last King of Scotland,123 min
Zodiac,157 min
Lucky Number Slevin,110 min
Joyeux Noël,116 min
Control,122 min
Tangled,100 min
Zwartboek,145 min
Brokeback Mountain,134 min
3:10 to Yuma,122 min
Crash,112 min
Kung fu,99 min
The Bourne Supremacy,108 min
The Machinist,101 min
Ray,152 min
Lost in Translation,102 min
Harry Potter and the Goblet of Fire,157 min
Man on Fire,146 min
Coraline,100 min
The Last Samurai,154 min
The Magdalene Sisters,114 min
Good Bye Lenin!,121 min
In America,105 min
I Am Sam,132 min
Adaptation.,115 min
Black Hawk Down,144 min
Road to Perdition,117 min
Das Experiment,120 min
Billy Elliot,110 min
Hedwig and the Angry Inch,95 min
Ocean's Eleven,116 min
Vampire Hunter D: Bloodlust,103 min
"O Brother, Where Art Thou?",107 min
Interstate 60: Episodes of the Road,116 min
"South Park: Bigger, Longer & Uncut",81 min
Office Space,89 min
Happiness,134 min
Training Day,122 min
Rushmore,93 min
Abre los ojos,119 min
Being John Malkovich,113 min
As Good as It Gets,139 min
The Fifth Element,126 min
Le dîner de cons,80 min
Donnie Brasco,127 min
Shine,105 min
Primal Fear,129 min
Hamlet,242 min
A Little Princess,97 min
Do lok tin si,99 min
Il postino,108 min
Clerks,92 min
Short Cuts,188 min
Philadelphia,125 min
The Muppet Christmas Carol,85 min
Malcolm X,202 min
The Last of the Mohicans,112 min
Kurenai no buta,94 min
Glengarry Glen Ross,100 min
A Few Good Men,138 min
Fried Green Tomatoes,130 min
Barton Fink,116 min
Miller's Crossing,115 min
Who Framed Roger Rabbit,104 min
Spoorloos,107 min
Withnail & I,107 min
The Last Emperor,163 min
Empire of the Sun,153 min
Der Name der Rose,130 min
Blue Velvet,120 min
The Purple Rose of Cairo,82 min
After Hours,97 min
Zelig,79 min
The Verdict,129 min
Star Trek II: The Wrath of Khan,113 min
First Blood,93 min
Ordinary People,124 min
Airplane!,88 min
Rupan sansei: Kariosutoro no shiro,100 min
Halloween,91 min
Le locataire,126 min
Love and Death,85 min
The Taking of Pelham One Two Three,104 min
Blazing Saddles,93 min
Serpico,130 min
Enter the Dragon,102 min
Deliverance,109 min
The French Connection,104 min
Dirty Harry,102 min
Where Eagles Dare,158 min
The Odd Couple,105 min
The Dirty Dozen,150 min
Belle de jour,100 min
A Man for All Seasons,120 min
Repulsion,105 min
Zulu,138 min
Goldfinger,110 min
The Birds,119 min
Cape Fear,106 min
Peeping Tom,101 min
The Magnificent Seven,128 min
Les yeux sans visage,90 min
Invasion of the Body Snatchers,80 min
Rebel Without a Cause,111 min
The Ladykillers,91 min
Sabrina,113 min
The Quiet Man,129 min
The Day the Earth Stood Still,92 min
The African Queen,105 min
Gilda,110 min
Fantasia,125 min
The Invisible Man,71 min
Dark Waters,126 min
Searching,102 min
Once Upon a Time... in Hollywood,161 min
Nelyubov,127 min
The Florida Project,111 min
Just Mercy,137 min
Gifted,101 min
The Peanut Butter Falcon,97 min
Victoria,138 min
Mustang,97 min
Guardians of the Galaxy Vol. 2,136 min
Baby Driver,113 min
Only the Brave,134 min
Bridge of Spies,142 min
Incredibles 2,118 min
Moana,107 min
Sicario,121 min
Creed,133 min
Leviafan,140 min
Hell or High Water,102 min
Philomena,98 min
Dawn of the Planet of the Apes,130 min
El cuerpo,112 min
Serbuan maut,101 min
End of Watch,109 min
Kari-gurashi no Arietti,94 min
A Star Is Born,136 min
True Grit,110 min
Hævnen,118 min
Despicable Me,95 min
50/50,100 min
Kick-Ass,117 min
Celda 211,113 min
Moneyball,133 min
La piel que habito,120 min
Zombieland,88 min
Die Welle,107 min
Sherlock Holmes,128 min
The Blind Side,129 min
The Visitor,104 min
Seven Pounds,123 min
Eastern Promises,100 min
Stardust,127 min
The Secret of Kells,71 min
Inside Man,129 min
Gone Baby Gone,114 min
La Vie En Rose,140 min
Huo Yuan Jia,104 min
The Illusionist,110 min
Dead Man's Shoes,90 min
Harry Potter and the Half-Blood Prince,153 min
300,117 min
Match Point,124 min
Watchmen,162 min
Lord of War,122 min
Saw,103 min
"Synecdoche, New York",124 min
Mysterious Skin,105 min
Jeux d'enfants,93 min
Un long dimanche de fiançailles,133 min
The Station Agent,89 min
21 Grams,124 min
Boksuneun naui geot,129 min
Finding Neverland,106 min
25th Hour,135 min
The Butterfly Effect,113 min
28 Days Later...,113 min
Batoru rowaiaru,114 min
The Royal Tenenbaums,110 min
Y tu mamá también,106 min
Harry Potter and the Sorcerer's Stone,152 min
The Others,101 min
Blow,124 min
Enemy at the Gates,131 min
Minority Report,145 min
The Hurricane,146 min
American Psycho,101 min
Lola rennt,81 min
The Thin Red Line,170 min
Mulan,88 min
Fear and Loathing in Las Vegas,118 min
Funny Games,108 min
Dark City,100 min
Sleepers,147 min
Lost Highway,134 min
Sense and Sensibility,136 min
Die Hard: With a Vengeance,128 min
Dead Man,121 min
The Bridges of Madison County,135 min
Apollo 13,140 min
Trois couleurs: Blanc,92 min
Falling Down,113 min
Dazed and Confused,102 min
My Cousin Vinny,120 min
Omohide poro poro,118 min
Delicatessen,99 min
Home Alone,103 min
The Godfather: Part III,162 min
When Harry Met Sally...,95 min
The Little Mermaid,83 min
The Naked Gun: From the Files of Police Squad!,85 min
"Planes, Trains & Automobiles",93 min
Lethal Weapon,109 min
Blood Simple,99 min
On Golden Pond,109 min
Mad Max 2,96 min
The Warriors,92 min
The Muppet Movie,95 min
Escape from Alcatraz,112 min
Watership Down,91 min
Midnight Express,121 min
Close Encounters of the Third Kind,138 min
The Long Goodbye,112 min
Giù la testa,157 min
Kelly's Heroes,144 min
The Jungle Book,78 min
Blowup,111 min
A Hard Day's Night,87 min
Breakfast at Tiffany's,115 min
Giant,201 min
From Here to Eternity,118 min
Lifeboat,97 min
The 39 Steps,86 min